hy,Unnamed: 0,pred,tweet_text,label_y,new_label,new_label_2,count
630,1520,245,sonhei que tava flertando com uma menina que comecava a manifestar apoio ao bolsonaro no meio do encontro fiquei tao chateado com isso que acordei e contei para minha namorada do sonho e ainda pedi desculpas para ela por rebaixar tanto meu nivel nos meus sonhos,cont,encontro contei,conto contar contando conta encontro contei aconteciam aconteceram contas contava,1
631,1673,245,sonhei que eu voltava pro ano de e aconteciam varios eventos que ja aconteceram e eu ficava contando o final do dia pras pessoas,cont,aconteciam aconteceram contando,conto contar contando conta encontro contei aconteciam aconteceram contas contava,1
632,1751,245,sonhei cm ela mas dessa vez n vou contar n,cont,contar,conto contar contando conta encontro contei aconteciam aconteceram contas contava,1
633,1764,245,sonhei com ela gravida vezes e nem deu tempo contar pra ela,cont,contar,conto contar contando conta encontro contei aconteciam aconteceram contas contava,1
634,1891,245,sonhei que recebia dinheiro pra pagar minhas contas acordei e nada,dinheiro,dinheiro,dinheiro,1
635,2178,245,eu sonhei que sonhei varios sonhos e no sonho eu contava sobre os meus outros sonhos,cont,contava,conto contar contando conta encontro contei aconteciam aconteceram contas contava,1
636,2462,245,sonhei que o caze me fez um pix de pra eu pagar minhas contas ta na sua mao em casimiro,cont,contas,conto contar contando conta encontro contei aconteciam aconteceram contas contava,1
637,3461,245,sonhei com alguem mas nao posso contar pra ngm,cont,contar,conto contar contando conta encontro contei aconteciam aconteceram contas contava,1
638,3932,245,eu sonhei com aquele meu livro de quando eu era menor so pode gnt eu lembro dele era amarelo e tinha um sol na frente e ainda tinha um conto da tatiana belinky contando que quando ela chegou no br viu um cacho de banana e ficou woow,cont,conto contando,conto contar contando conta encontro contei aconteciam aconteceram contas contava,1
639,4001,245,sonhei que flaviane vinha me entregar empadinhas chegando aqui ela disse que tinha uma do senac pra me contar comecou a menina contando a so lembro que tinha cheque no meio dinheiro sei la que raiva q eu acordei sem saber o restante da,cont,contar contando,conto contar contando conta encontro contei aconteciam aconteceram contas contava,1
640,149,371,sonhei que a gente usava camisa combinando na copa,copa,copa,copa flamengo hexa vasco messi,1
641,788,371,sonhei q a milena tinha comprado pacote de figurinha da copa pra mim,copa,copa,copa flamengo hexa vasco messi,1
642,914,371,sonhei com a final da copa do brasil e tmb com o resultado loucura k,copa,copa,copa flamengo hexa vasco messi,1
643,980,371,sonhei que gabigol era expulso no jogo de ida da copa do brasil que pesadelo terrivel,copa,copa,copa flamengo hexa vasco messi,1
644,1845,371,sonhei que oo brasil perdeu pra camaroes na copa pior pesadelo da minha vida,copa,copa,copa flamengo hexa vasco messi,1
645,2256,371,sonhei que o brasil metia x na argentina na copa estavamos muito felizes,copa,copa,copa flamengo hexa vasco messi,1
646,2638,371,sonhei que o cara falou que queria namorar cmg mas so dps da copa pq queria passar a copa solteiro e eu aceitei bestinha ate em sonho gnt como pode,copa,copa copa,copa flamengo hexa vasco messi,1
647,2929,371,sonhei q o brasil tinha ganhado a copa,copa,copa,copa flamengo hexa vasco messi,1
648,3040,371,sonhei que o yuri alberto de cabelo azul marcaria gol na final da copa do brasil,copa,copa,copa flamengo hexa vasco messi,1
649,3164,371,sonhei que o brasil perdia os tres jogos da fase de grupos da copa,copa,copa,copa flamengo hexa vasco messi,1
650,3474,371,sonhei que o brasil ganhava a final da copa de x,copa,copa,copa flamengo hexa vasco messi,1
651,4043,371,sonhei que assistia o brasil na final da copa do mundo com minha namorada em algum restaurante na estrada pq vamos estar viajando de carro no dia ja pensou,copa,copa,copa flamengo hexa vasco messi,1
2455,2561,263,sonhei q o neymar tinha machucado serio faltando mes pra copa,copa,copa,copa,1
652,556,77,sonhei que eu era corna,corn,corna,corna,1
653,2321,77,sonhei q eu tinha sido corna,corn,corna,corna,1
654,2553,77,sonhei que tava sendo corna quase morri quando acordei de tanto q tava ofegante de tanto chorar no meu sonho,corn,corna,corna,1
655,2832,77,sonhei que era corna e fui investigar e acabei descobrindo que na verdade nao era sonho,corn,corna,corna,1
656,3559,77,sonhei com ela e fiquei com saudade vo me matar meudeus odeio essa cachorra puta corna d caralho,corn,corna,corna,1
657,1540,333,sonhei que estava fazendo uma tatuagem de dragao nas costas minha mae vai me matar,cost,costas,costas costa,1
658,2087,333,eu sonhei que o diego costa fazia gol hoje e o azpilicueta comemorava com ele,cost,costa,costas costa,1
659,2542,333,sonhei que eu fazia uma tatuagem enorme nas costas,cost,costas,costas costa,1
660,2658,333,sonhei que comi a e a maa costa e agr quero comer uma sapadrao,cost,costa,costas costa,1
663,1,25,sonhei que eu tava num lugar estranho com uma crianca q eu nunca vi e comprando chiclete so q aquele chiquete nem vende mais,crianc,crianca,crianca criancas,1
664,167,25,sonhei com uma crianca ele era tao lindo,crianc,crianca,crianca criancas,1
665,619,25,sonhei essa noite que eu conhecia a virginia e brincava com a maria alice e o melhor e que eu nem liguei muito pra virginia em si eu queria era brincar com a crianca sou mt tia mesmo,crianc,crianca,crianca criancas,1
666,1136,25,sonhei com crianca de novo deus se for da sua vontade eu estou pronta pra ser,crianc,crianca,crianca criancas,1
667,2171,25,sonhei que a gente adotava uma crianca nunca fui tao feliz,crianc,crianca,crianca criancas,1
668,2237,25,sonhei que tava gozando na boca de uma crianca,crianc,crianca,crianca criancas,1
669,2533,25,sonhei que tinha umas criancas abonigenes na ufes e eu brincava com uma delas,crianc,criancas,crianca criancas,1
